,Unnamed: 0,id, text, labels, insult, degree, role, guy, abuse,processed
0,0, tweet85_1234943272562446336," @laSextaTV @cayetanaAT @cayetanaAT Great Cayetana, there are many of us who think the same as you about the SECTA, regardless of the political ideology. You have more balls than all the barons of the PP combined.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['la SECT', 'You have more balls than all the barons of the PP combined']",     great cayetana there be many of we who think the same as you about the secta regardless of the political ideology you have more ball than all the baron of the pp combine
1,1, tweet76_1235118763579604993, @laSextaTV La Sextapo., VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['The Sextapo'],   la sextapo
2,2, tweet69_1235152882988650496, @laSextaTV Retract the truth? Come now, NONVIOLENT, NO,,,, [],   retract the truth come now
3,3, tweet8_991352279679819776,"#Politics is not about #People, it is about #Models Duque and Vargas are from a Model that, although Imperfect, Works for the #GreatMajority Petro and De la Calle are from an #Obsolete Model #Failed and Works Badly for the #ImmenseMajority See the History and the Present of #Vzla and #Nicaragua.", NONVIOLENT, NO,,,, [],  be not about   it be about   duque and varga be from a model that although imperfect work for the   petro and de la calle be from an   model   and work badly for the   see the history and the present of   and
4,4, tweet10_1235123983743361024, @laSextaTV @cayetanaAT And they also make a living doing it. They have found a mine in the PP., NONVIOLENT, NO,,,, [],    and they also make a living do it they have find a mine in the pp
5,5, tweet90_990993212687994881, @Taliban910 shame on you. that you act like a journalist and you don't even come close to it... #DasAsco, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['shame on you', 'DasAsco']",   shame on you that you act like a journalist and you do not even come close to it
6,6, tweet76_1591842372161310722," @sanmgATM ALL, without exception, those who have gone to the Demonstration against Ayuso with the excuse of Public Health, (that's right, not the other way around) are SONS OF BITCHES. How is the country and they have been hidden because the PSOE governs and today they come out like vermin. MISERABLE. SONS OF BITCHES.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['they are SONS OF A BITCH', 'alimaas', 'MISERABLES', 'SONS OF A BITCH']",   all without exception those who have go to the demonstration against ayuso with the excuse of public health that s right not the other way around be son of bitch how be the country and they have be hide because the psoe govern and today they come out like vermin miserable son of bitch
7,7,tweet12_1234935292186021889," @laSextaTV Yes, ABC.", NONVIOLENT, NO,,,, [],   yes abc
8,8, tweet19_1235081041615998976, @laSextaTV This much criticized woman tells the truth., NONVIOLENT, NO,,,, [],   this much criticize woman tell the truth
9,9, tweet18_1235213440953856002," @laSextaTV You are the most manipulative, partisan and unobjective TV channel there is after TV3. I have never seen a channel that silences the government's dirty laundry to make OPPOSITION OF THE OPPOSITION, shameful. You are also responsible for spreading hatred towards VOX calling it extreme https://t.co/ig5xcGDIgb", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['manipulative', 'shameful', 'you are responsible for spreading hate']",   you be the most manipulative partisan and unobjective tv channel there be after tv I have never see a channel that silence the government dirty laundry to make opposition of the opposition shameful you be also responsible for spread hatred towards vox call it extreme
10,10, tweet14_1235244554095296514, @IreneMontero You embarrass others a lot. Your inability scares., VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['You embarrass others a lot', 'You're incapable']",   you embarrass other a lot your inability scare
11,11, tweet95_1235169765603323906, @laSextaTV Are you lying? You only criticize those who are not related to your ideas., NONVIOLENT, NO,,,, [],   be you lie you only criticize those who be not relate to your idea
12,12, tweet51_1235459409431670784,"@laSextaTV The thinnest skin in the universe belongs to the press. You can insult and manipulate, now let them not even name you", NONVIOLENT, YEAH,,,," ['insult', 'manipulate']",  the thin skin in the universe belong to the press you can insult and manipulate now let they not even name you
13,13, tweet64_1235108401140527105," @laSextaTV Cayetana, the best of the PP. Cheer up and don't give up, please", NONVIOLENT, NO,,,, [],   cayetana the good of the pp cheer up and do not give up please
14,14, tweet12_1235323456427786240, @IreneMontero And wanting to whip Maril Montero until she bleeds is not machismo?, VIOLENT, YEAH, SERIOUS, INFORMATIVE, OTHER," ['spank', 'until she bleeds']",   and want to whip maril montero until she bleed be not machismo
15,15, tweet35_1235336134345003008, @laSextaTV And it falls short, NONVIOLENT, NO,,,, [],   and it fall short
