text,label
বাংলাদেশের হিন্দুরা নিজেদের জন্য আলাদা হিন্দু রাজ্য র দাবি তুলুন নিজেদের অস্তিত্ব রক্ষা করুন,0
মাইজদী - চৌমুহুনী - ফেনী মন্দিরে হামলা নিয়ে রিপোর্ট করুন।,0
"দয়া করে পবিত্র কুরআনুল কারিম বলেন,,,,পবিত্র কথাটা অবশ্যই বলবেন,,, প্লিজ 😢😥🙏🙏🙏",0
বিবিসি হলো সত্য কে বিনষ্টকারী আর মিথ্যা কে গ্রহণকারী।,1
বুধবার কি তোরা মারা গেছিলি বিবিসি বাংলা,1
"কোরআন পাওয়া গেছে, কোরআন পাওয়া গেছে,যেমন ভাবে বতাছে যেন, সোনা দিয়ে বাঁধানো কোরআন পাওয়া গেছে.......!তোদেরও একদিন বিচার হবে,মনে রাখিশ আল্লাহ ছাড় দিছে, ছেড়ে দেননি......,👉",1
কোরআন কে কেন অবমাননা করা হল? মুসলিমরা কি দোষ করছিলো?,0
"আমরা হিন্দু রা কুরআন পূজা করি না। এটা সম্পূর্ণ চক্রান্ত , সঠিক বিচার চাই",0
সন্চালককে বলতে চাই কথাটি হবে দেব দেবীর পায়ে কোরআন শরীফ পাওযাকে কেন্দ্র করে বিভিন্ন মন্ডপে হামলা।,0
কোরান অবমাননা না বলে পাওয়া গেছে বলেন কেন?,0
কাদের কাকা গুজব কোন টা।,0
মাননীয় মন্ত্রী অসাম্প্রদায়িক ব্যাক্তি কারা একটু খোলাস করবেন। অসাম্প্রদায়িক আর মুক্তি যুদ্ধের চেতনাকে নিয়ে আর কত রাজনীতি করবেন,1
কুরআনকে যখন অবমাননা করা হলো আপনারা একটা নিউজ করেছেন। কিন্তু পুজা মন্ডপে ভাংচুর করা হলে আপনাদের নিউজ চলছেতো চলছেই। বিবিসি মানেই ভারতের দালাল,1
মিথ্যা বাদি ওবাইদেরকাদের কথা বিশ্বাস করবেন না,1
একটি মহল দেশে আন্দলন করবে বলে হুমকি দমকি দিচ্ছে এই ঘটনা তারাই গটিয়েছে কিনা খতিয়ে দেখা দরকার আছে ঠান্ডা মাথায় পরিকল্পনা করে এইসব করে যাচ্ছে এই সংগঠন,1
হুম।মানুষের বুকের রক্ত নিয়েই তো আজকে ইসলাম প্রতিষ্ঠিত হয়েছে।মুহম্মদ নিজেও একজন দখলদার যুদ্ধবাজ ছিল।,1
৪-৫ জন লোককে নির্বিচারে হত্যা করছে এ নিয়ে ভারতের পা চাটা কুত্তার বাচ্চা গণমাধ্যমগুলো পূর্বের মতোই কিছু বলছে না,1
"স্ফুলিঙ্গ যখন সৃষ্টি হলো, তখন সেটা শুরুতেই পদক্ষেপ না নিয়ে , যখন আগুন পুরো বাড়িতে ছড়িয়ে পড়লো তখন ফন্দিবাজরা---- এলো আলুপোড়া খেতে 🤪🤪🤪🤪🤪🤪 এখন দেখা যাক কে কত টুক ফয়দা হাসিল করতে পারে।",1
